PERMNO,date,TICKER,CUSIP,DISTCD,DIVAMT,FACPR,FACSHR,PRC,VOL,RET,SHROUT,CFACPR,CFACSHR,sprtrn
11850,20190102,XOM,30231G10,,,,,69.69000,16727246,0.021997,4233807,1,1,0.001269
11850,20190103,XOM,30231G10,,,,,68.62000,13866115,-0.015354,4233807,1,1,-0.024757
11850,20190104,XOM,30231G10,,,,,71.15000,16043642,0.036870,4233807,1,1,0.034336
11850,20190107,XOM,30231G10,,,,,71.52000,10844159,0.005200,4233807,1,1,0.007010
11850,20190108,XOM,30231G10,,,,,72.04000,11438966,0.007271,4233807,1,1,0.009695
11850,20190109,XOM,30231G10,,,,,72.42000,13473519,0.005275,4233807,1,1,0.004098
11850,20190110,XOM,30231G10,,,,,72.05000,13151117,-0.005109,4233807,1,1,0.004518
11850,20190111,XOM,30231G10,,,,,71.72000,9790134,-0.004580,4233807,1,1,-0.000146
11850,20190114,XOM,30231G10,,,,,71.63000,11012361,-0.001255,4233807,1,1,-0.005258
11850,20190115,XOM,30231G10,,,,,71.67000,10298309,0.000558,4233807,1,1,0.010722
11850,20190116,XOM,30231G10,,,,,71.64000,12595640,-0.000419,4233807,1,1,0.002222
11850,20190117,XOM,30231G10,,,,,72.13000,10141743,0.006840,4233807,1,1,0.007591
11850,20190118,XOM,30231G10,,,,,72.99000,15759166,0.011923,4233807,1,1,0.013183
11850,20190122,XOM,30231G10,,,,,71.89000,15035601,-0.015071,4233807,1,1,-0.014157
11850,20190123,XOM,30231G10,,,,,71.30000,13187221,-0.008207,4233807,1,1,0.002203
11850,20190124,XOM,30231G10,,,,,71.40000,11272716,0.001403,4233807,1,1,0.001376
11850,20190125,XOM,30231G10,,,,,71.72000,8998323,0.004482,4233807,1,1,0.008489
11850,20190128,XOM,30231G10,,,,,71.24000,13678449,-0.006693,4233807,1,1,-0.007847
11850,20190129,XOM,30231G10,,,,,71.51000,10513242,0.003790,4233807,1,1,-0.001456
11850,20190130,XOM,30231G10,,,,,72.29000,11524722,0.010908,4233807,1,1,0.015549
11850,20190131,XOM,30231G10,,,,,73.28000,19876696,0.013695,4233807,1,1,0.008597
11850,20190201,XOM,30231G10,,,,,75.92000,22968697,0.036026,4233807,1,1,0.000899
11850,20190204,XOM,30231G10,,,,,74.82000,15483835,-0.014489,4233807,1,1,0.006776
11850,20190205,XOM,30231G10,,,,,75.59000,12786736,0.010291,4233807,1,1,0.004708
11850,20190206,XOM,30231G10,,,,,75.26000,10866901,-0.004366,4233807,1,1,-0.002224
11850,20190207,XOM,30231G10,,,,,74.68000,14418911,-0.007707,4233807,1,1,-0.009357
11850,20190208,XOM,30231G10,1232,0.82000,0.00000,0.00000,73.98000,11959689,0.001607,4233807,1,1,0.000676
11850,20190211,XOM,30231G10,,,,,74.10000,10434911,0.001622,4233807,1,1,0.000709
11850,20190212,XOM,30231G10,,,,,75.40000,12599206,0.017544,4233807,1,1,0.012890
11850,20190213,XOM,30231G10,,,,,76.25000,13214556,0.011273,4233807,1,1,0.003024
11850,20190214,XOM,30231G10,,,,,76.27000,12773209,0.000262,4233807,1,1,-0.002652
11850,20190215,XOM,30231G10,,,,,77.71000,14330339,0.018880,4233807,1,1,0.010879
11850,20190219,XOM,30231G10,,,,,78.23000,13551469,0.006692,4233807,1,1,0.001499
11850,20190220,XOM,30231G10,,,,,78.53000,12633126,0.003835,4233807,1,1,0.001777
11850,20190221,XOM,30231G10,,,,,77.82000,10266012,-0.009041,4233807,1,1,-0.003526
11850,20190222,XOM,30231G10,,,,,78.42000,9519281,0.007710,4233807,1,1,0.006411
11850,20190225,XOM,30231G10,,,,,78.50000,9274378,0.001020,4233807,1,1,0.001232
11850,20190226,XOM,30231G10,,,,,78.66000,10990586,0.002038,4233807,1,1,-0.000790
11850,20190227,XOM,30231G10,,,,,79.47000,12398206,0.010297,4233807,1,1,-0.000544
11850,20190228,XOM,30231G10,,,,,79.03000,14597883,-0.005537,4237000,1,1,-0.002826
11850,20190301,XOM,30231G10,,,,,80.00000,15419422,0.012274,4237000,1,1,0.006895
11850,20190304,XOM,30231G10,,,,,80.31000,18090161,0.003875,4237000,1,1,-0.003881
11850,20190305,XOM,30231G10,,,,,80.19000,13745465,-0.001494,4237000,1,1,-0.001131
11850,20190306,XOM,30231G10,,,,,79.28000,18633599,-0.011348,4237000,1,1,-0.006524
11850,20190307,XOM,30231G10,,,,,80.16000,16541732,0.011100,4237000,1,1,-0.008126
11850,20190308,XOM,30231G10,,,,,79.01000,16211252,-0.014346,4237000,1,1,-0.002132
11850,20190311,XOM,30231G10,,,,,79.78000,11060876,0.009746,4237000,1,1,0.014666
11850,20190312,XOM,30231G10,,,,,80.00000,11320150,0.002758,4237000,1,1,0.002953
11850,20190313,XOM,30231G10,,,,,80.71000,10260235,0.008875,4237000,1,1,0.006950
11850,20190314,XOM,30231G10,,,,,80.44000,9976797,-0.003345,4237000,1,1,-0.000868
11850,20190315,XOM,30231G10,,,,,80.15000,25316599,-0.003605,4237000,1,1,0.004985
11850,20190318,XOM,30231G10,,,,,81.08000,9840552,0.011603,4237000,1,1,0.003706
11850,20190319,XOM,30231G10,,,,,80.87000,13936496,-0.002590,4237000,1,1,-0.000131
11850,20190320,XOM,30231G10,,,,,81.32000,13133738,0.005564,4237000,1,1,-0.002944
11850,20190321,XOM,30231G10,,,,,81.79000,10116958,0.005780,4237000,1,1,0.010853
11850,20190322,XOM,30231G10,,,,,80.48000,12497707,-0.016017,4237000,1,1,-0.018975
11850,20190325,XOM,30231G10,,,,,79.92000,11320386,-0.006958,4237000,1,1,-0.000839
11850,20190326,XOM,30231G10,,,,,80.96000,9473083,0.013013,4237000,1,1,0.007183
11850,20190327,XOM,30231G10,,,,,80.34000,7258729,-0.007658,4237000,1,1,-0.004644
11850,20190328,XOM,30231G10,,,,,80.74000,7412348,0.004979,4237000,1,1,0.003590
11850,20190329,XOM,30231G10,,,,,80.80000,10889251,0.000743,4237000,1,1,0.006734
11850,20190401,XOM,30231G10,,,,,81.73000,10816444,0.011510,4237000,1,1,0.011569
11850,20190402,XOM,30231G10,,,,,81.38000,7646036,-0.004282,4237000,1,1,0.000017
11850,20190403,XOM,30231G10,,,,,80.90000,8562912,-0.005898,4237000,1,1,0.002148
11850,20190404,XOM,30231G10,,,,,82.05000,9360593,0.014215,4237000,1,1,0.002085
11850,20190405,XOM,30231G10,,,,,82.49000,10059368,0.005363,4237000,1,1,0.004636
11850,20190408,XOM,30231G10,,,,,83.00000,9108518,0.006183,4237000,1,1,0.001047
11850,20190409,XOM,30231G10,,,,,81.93000,8561582,-0.012892,4237000,1,1,-0.006067
11850,20190410,XOM,30231G10,,,,,81.56000,10324305,-0.004516,4237000,1,1,0.003478
11850,20190411,XOM,30231G10,,,,,81.95000,9115235,0.004782,4237000,1,1,0.000038
11850,20190412,XOM,30231G10,,,,,80.92000,16638655,-0.012569,4237000,1,1,0.006609
11850,20190415,XOM,30231G10,,,,,80.65000,8536136,-0.003337,4237000,1,1,-0.000629
11850,20190416,XOM,30231G10,,,,,81.20000,7005715,0.006820,4237000,1,1,0.000509
11850,20190417,XOM,30231G10,,,,,81.43000,8311362,0.002833,4237000,1,1,-0.002274
11850,20190418,XOM,30231G10,,,,,81.13000,9493885,-0.003684,4237000,1,1,0.001579
11850,20190422,XOM,30231G10,,,,,82.90000,10770596,0.021817,4237000,1,1,0.001012
11850,20190423,XOM,30231G10,,,,,83.38000,10595101,0.005790,4237000,1,1,0.008841
11850,20190424,XOM,30231G10,,,,,81.76000,11684021,-0.019429,4237000,1,1,-0.002192
11850,20190425,XOM,30231G10,,,,,82.22000,11135004,0.005626,4237000,1,1,-0.000369
11850,20190426,XOM,30231G10,,,,,80.49000,18053468,-0.021041,4237000,1,1,0.004685
11850,20190429,XOM,30231G10,,,,,79.97000,10023667,-0.006460,4237000,1,1,0.001071
11850,20190430,XOM,30231G10,,,,,80.28000,13721521,0.003876,4231000,1,1,0.000951
11850,20190501,XOM,30231G10,,,,,78.67000,13909751,-0.020055,4231000,1,1,-0.007502
11850,20190502,XOM,30231G10,,,,,77.29000,15360385,-0.017542,4231000,1,1,-0.002124
11850,20190503,XOM,30231G10,,,,,77.47000,12180737,0.002329,4231000,1,1,0.009638
11850,20190506,XOM,30231G10,,,,,77.13000,13367124,-0.004389,4231000,1,1,-0.004471
11850,20190507,XOM,30231G10,,,,,76.72000,13498822,-0.005316,4231000,1,1,-0.016512
11850,20190508,XOM,30231G10,,,,,76.84000,11352859,0.001564,4231000,1,1,-0.001605
11850,20190509,XOM,30231G10,,,,,76.77000,13221649,-0.000911,4231000,1,1,-0.003021
11850,20190510,XOM,30231G10,1232,0.87000,0.00000,0.00000,76.56000,11055957,0.008597,4231000,1,1,0.003720
11850,20190513,XOM,30231G10,,,,,75.71000,12176298,-0.011102,4231000,1,1,-0.024131
11850,20190514,XOM,30231G10,,,,,75.81000,10548424,0.001321,4231000,1,1,0.008016
11850,20190515,XOM,30231G10,,,,,76.37000,8918004,0.007387,4231000,1,1,0.005839
11850,20190516,XOM,30231G10,,,,,76.36000,8105630,-0.000131,4231000,1,1,0.008895
11850,20190517,XOM,30231G10,,,,,75.91000,9279383,-0.005893,4231000,1,1,-0.005837
11850,20190520,XOM,30231G10,,,,,75.90000,7154620,-0.000132,4231000,1,1,-0.006749
11850,20190521,XOM,30231G10,,,,,76.25000,8490107,0.004611,4231000,1,1,0.008496
11850,20190522,XOM,30231G10,,,,,75.56000,7858317,-0.009049,4231000,1,1,-0.002824
11850,20190523,XOM,30231G10,,,,,73.79000,14657221,-0.023425,4231000,1,1,-0.011914
11850,20190524,XOM,30231G10,,,,,74.10000,7056566,0.004201,4231000,1,1,0.001354
11850,20190528,XOM,30231G10,,,,,72.61000,14912925,-0.020108,4231000,1,1,-0.008376
11850,20190529,XOM,30231G10,,,,,72.16000,13645182,-0.006197,4231000,1,1,-0.006912
11850,20190530,XOM,30231G10,,,,,71.97000,9362146,-0.002633,4231000,1,1,0.002098
11850,20190531,XOM,30231G10,,,,,70.77000,13983305,-0.016674,4231094,1,1,-0.013195
11850,20190603,XOM,30231G10,,,,,71.88000,11831255,0.015685,4231094,1,1,-0.002765
11850,20190604,XOM,30231G10,,,,,73.59000,10423019,0.023790,4231094,1,1,0.021432
11850,20190605,XOM,30231G10,,,,,72.98000,10617831,-0.008289,4231094,1,1,0.008162
11850,20190606,XOM,30231G10,,,,,74.31000,11738903,0.018224,4231094,1,1,0.006136
11850,20190607,XOM,30231G10,,,,,74.58000,9095481,0.003633,4231094,1,1,0.010498
11850,20190610,XOM,30231G10,,,,,74.91000,7760402,0.004425,4231094,1,1,0.004660
11850,20190611,XOM,30231G10,,,,,74.84000,9415134,-0.000935,4231094,1,1,-0.000350
11850,20190612,XOM,30231G10,,,,,74.03000,7921018,-0.010823,4231094,1,1,-0.002038
11850,20190613,XOM,30231G10,,,,,74.68000,8986427,0.008780,4231094,1,1,0.004097
11850,20190614,XOM,30231G10,,,,,74.35000,8575907,-0.004419,4231094,1,1,-0.001612
11850,20190617,XOM,30231G10,,,,,75.09000,9355715,0.009953,4231094,1,1,0.000932
11850,20190618,XOM,30231G10,,,,,75.74000,10091483,0.008656,4231094,1,1,0.009717
11850,20190619,XOM,30231G10,,,,,75.32000,9757390,-0.005545,4231094,1,1,0.002985
11850,20190620,XOM,30231G10,,,,,76.61000,16229715,0.017127,4231094,1,1,0.009472
11850,20190621,XOM,30231G10,,,,,77.69000,23108130,0.014097,4231094,1,1,-0.001259
11850,20190624,XOM,30231G10,,,,,76.95000,10012236,-0.009525,4231094,1,1,-0.001732
11850,20190625,XOM,30231G10,,,,,76.27000,9739970,-0.008837,4231094,1,1,-0.009496
11850,20190626,XOM,30231G10,,,,,76.60000,11365476,0.004327,4231094,1,1,-0.001234
11850,20190627,XOM,30231G10,,,,,75.82000,8147803,-0.010183,4231094,1,1,0.003823
11850,20190628,XOM,30231G10,,,,,76.63000,14781298,0.010683,4231094,1,1,0.005757
11850,20190701,XOM,30231G10,,,,,76.56000,11453769,-0.000913,4231094,1,1,0.007672
11850,20190702,XOM,30231G10,,,,,75.72000,10475419,-0.010972,4231094,1,1,0.002928
11850,20190703,XOM,30231G10,,,,,76.44000,5246096,0.009509,4231094,1,1,0.007672
11850,20190705,XOM,30231G10,,,,,76.13000,6881115,-0.004056,4231094,1,1,-0.001806
11850,20190708,XOM,30231G10,,,,,76.48000,7876097,0.004597,4231094,1,1,-0.004835
11850,20190709,XOM,30231G10,,,,,76.43000,7863026,-0.000654,4231094,1,1,0.001237
11850,20190710,XOM,30231G10,,,,,77.51000,8077369,0.014131,4231094,1,1,0.004511
11850,20190711,XOM,30231G10,,,,,77.57000,6404194,0.000774,4231094,1,1,0.002285
11850,20190712,XOM,30231G10,,,,,77.63000,6139299,0.000773,4231094,1,1,0.004620
11850,20190715,XOM,30231G10,,,,,77.08000,7116356,-0.007085,4231094,1,1,0.000176
11850,20190716,XOM,30231G10,,,,,75.93000,10197358,-0.014920,4231094,1,1,-0.003404
11850,20190717,XOM,30231G10,,,,,75.48000,7419314,-0.005926,4231094,1,1,-0.006531
11850,20190718,XOM,30231G10,,,,,74.84000,11425663,-0.008479,4231094,1,1,0.003582
11850,20190719,XOM,30231G10,,,,,74.99000,11243310,0.002004,4231094,1,1,-0.006177
11850,20190722,XOM,30231G10,,,,,75.07000,8370141,0.001067,4231094,1,1,0.002829
11850,20190723,XOM,30231G10,,,,,75.37000,8551205,0.003996,4231094,1,1,0.006848
11850,20190724,XOM,30231G10,,,,,75.36000,8260245,-0.000133,4231094,1,1,0.004688
11850,20190725,XOM,30231G10,,,,,74.93000,9083914,-0.005706,4231094,1,1,-0.005262
11850,20190726,XOM,30231G10,,,,,74.81000,7677427,-0.001602,4231094,1,1,0.007388
11850,20190729,XOM,30231G10,,,,,75.34000,7091889,0.007085,4231094,1,1,-0.001616
11850,20190730,XOM,30231G10,,,,,75.35000,6961197,0.000133,4231094,1,1,-0.002579
11850,20190731,XOM,30231G10,,,,,74.36000,13104592,-0.013139,4231094,1,1,-0.010886
11850,20190801,XOM,30231G10,,,,,72.46000,17132815,-0.025551,4231094,1,1,-0.008999
11850,20190802,XOM,30231G10,,,,,71.75000,21376742,-0.009798,4231094,1,1,-0.007283
11850,20190805,XOM,30231G10,,,,,70.28000,19080930,-0.020488,4231094,1,1,-0.029778
11850,20190806,XOM,30231G10,,,,,70.96000,12282362,0.009676,4231094,1,1,0.013017
11850,20190807,XOM,30231G10,,,,,70.50000,15231052,-0.006483,4231094,1,1,0.000767
11850,20190808,XOM,30231G10,,,,,72.38000,14304052,0.026667,4231094,1,1,0.018762
11850,20190809,XOM,30231G10,,,,,70.84000,13686606,-0.021277,4231094,1,1,-0.006617
11850,20190812,XOM,30231G10,1232,0.87000,0.00000,0.00000,69.63000,9542598,-0.004800,4231094,1,1,-0.012184
11850,20190813,XOM,30231G10,,,,,70.49000,12438513,0.012351,4231094,1,1,0.014994
11850,20190814,XOM,30231G10,,,,,67.65000,18114362,-0.040289,4231094,1,1,-0.029293
