ticker,caldt,crsp_fundno,mret
VBMFX,20100129,031239,0.015708
VBMFX,20100226,031239,0.001965
VBMFX,20100331,031239,-0.000799
VBMFX,20100430,031239,0.010604
VBMFX,20100528,031239,0.008724
VBMFX,20100630,031239,0.016101
VBMFX,20100730,031239,0.009362
VBMFX,20100831,031239,0.014809
VBMFX,20100930,031239,-0.000118
VBMFX,20101029,031239,0.003609
VBMFX,20101130,031239,-0.005677
VBMFX,20101231,031239,-0.011464
VBMFX,20110131,031239,0.000826
VBMFX,20110228,031239,0.001634
VBMFX,20110331,031239,-0.000052
VBMFX,20110429,031239,0.013162
VBMFX,20110531,031239,0.013044
VBMFX,20110630,031239,-0.003881
VBMFX,20110729,031239,0.015752
VBMFX,20110831,031239,0.014637
VBMFX,20110930,031239,0.008925
VBMFX,20111031,031239,0.001599
VBMFX,20111130,031239,-0.003043
VBMFX,20111230,031239,0.010763
VBMFX,20120131,031239,0.008732
VBMFX,20120229,031239,-0.000458
VBMFX,20120330,031239,-0.005834
VBMFX,20120430,031239,0.011390
VBMFX,20120531,031239,0.009487
VBMFX,20120629,031239,0.000368
VBMFX,20120731,031239,0.013859
VBMFX,20120831,031239,0.000301
VBMFX,20120928,031239,0.001078
VBMFX,20121031,031239,0.001115
VBMFX,20121130,031239,0.001920
VBMFX,20121231,031239,-0.002010
VBMFX,20130131,031239,-0.007124
VBMFX,20130228,031239,0.005427
VBMFX,20130328,031239,0.000828
VBMFX,20130430,031239,0.009128
VBMFX,20130531,031239,-0.017084
VBMFX,20130628,031239,-0.016538
VBMFX,20130731,031239,0.001968
VBMFX,20130830,031239,-0.006407
VBMFX,20130930,031239,0.009611
VBMFX,20131031,031239,0.007770
VBMFX,20131129,031239,-0.003495
VBMFX,20131231,031239,-0.006469
VBMFX,20140131,031239,0.015433
VBMFX,20140228,031239,0.004791
VBMFX,20140331,031239,-0.001493
VBMFX,20140430,031239,0.007719
VBMFX,20140530,031239,0.010478
VBMFX,20140630,031239,0.001096
VBMFX,20140731,031239,-0.002570
VBMFX,20140829,031239,0.011308
VBMFX,20140930,031239,-0.007237
VBMFX,20141031,031239,0.009408
VBMFX,20141128,031239,0.006526
VBMFX,20141231,031239,0.000894
VBMFX,20150130,031239,0.023111
VBMFX,20150227,031239,-0.010820
VBMFX,20150331,031239,0.004078
VBMFX,20150430,031239,-0.003619
VBMFX,20150529,031239,-0.004499
VBMFX,20150630,031239,-0.010090
VBMFX,20150731,031239,0.007611
VBMFX,20150831,031239,-0.003554
VBMFX,20150930,031239,0.007568
VBMFX,20151030,031239,0.000134
VBMFX,20151130,031239,-0.002675
VBMFX,20151231,031239,-0.003791
VBMFX,20160129,031239,0.014294
VBMFX,20160229,031239,0.006601
VBMFX,20160331,031239,0.009437
VBMFX,20160429,031239,0.003779
VBMFX,20160531,031239,0.000145
VBMFX,20160630,031239,0.019372
VBMFX,20160729,031239,0.006412
VBMFX,20160831,031239,-0.001680
VBMFX,20160930,031239,-0.000859
VBMFX,20161031,031239,-0.008067
VBMFX,20161130,031239,-0.026438
VBMFX,20161230,031239,0.002447
VBMFX,20170131,031239,0.002949
VBMFX,20170228,031239,0.006596
VBMFX,20170331,031239,-0.000716
VBMFX,20170428,031239,0.007622
VBMFX,20170531,031239,0.006704
VBMFX,20170630,031239,0.000143
VBMFX,20170731,031239,0.003883
VBMFX,20170831,031239,0.008538
VBMFX,20170929,031239,-0.005390
VBMFX,20171031,031239,0.001123
VBMFX,20171130,031239,-0.001720
VBMFX,20171229,031239,0.004376
VBMFX,20180131,031239,-0.010944
VBMFX,20180228,031239,-0.010267
VBMFX,20180329,031239,0.006256
VBMFX,20180430,031239,-0.008305
VBMFX,20180531,031239,0.006088
VBMFX,20180629,031239,0.000285
VBMFX,20180731,031239,0.000346
VBMFX,20180831,031239,0.005156
VBMFX,20180928,031239,-0.005428
VBMFX,20181031,031239,-0.007302
VBMFX,20181130,031239,0.002924
VBMFX,20181231,031239,0.017981
VBMFX,20190131,031239,0.010069
VBMFX,20190228,031239,-0.000621
VBMFX,20190329,031239,0.019557
VBMFX,20190430,031239,0.000439
VBMFX,20190531,031239,0.018298
VBMFX,20190628,031239,0.011533
VBMFX,20190731,031239,0.002262
VBMFX,20190830,031239,0.027826
VBMFX,20190930,031239,-0.005963
VBMFX,20191031,031239,0.002127
VBMFX,20191129,031239,-0.000633
VBMFX,20191231,031239,-0.001462
VBMFX,20200131,031239,0.021138
VBMFX,20200228,031239,0.017072
VBMFX,20200331,031239,-0.005856
VBMFX,20200430,031239,0.016938
VBMFX,20200529,031239,0.005356
VBMFX,20200630,031239,0.006988
VBMFX,20200731,031239,0.015524
VBMFX,20200831,031239,-0.010242
VBMFX,20200930,031239,0.000766
VBMFX,20201030,031239,-0.006104
VBMFX,20201130,031239,0.011105
VBMFX,20201231,031239,0.001496
VBMFX,20210129,031239,-0.007954
VBMFX,20210226,031239,-0.015100
VBMFX,20210331,031239,-0.013753
VBMFX,20210430,031239,0.009548
VBMFX,20210528,031239,0.002368
VBMFX,20210630,031239,0.007697
VBMFX,20210730,031239,0.012096
VBMFX,20210831,031239,-0.002034
VBMFX,20210930,031239,-0.009123
