,last_update_date,tags,permalink,status,list_date,open_houses,branding,photos,coming_soon_date,list_price,matterport,property_id,community,virtual_tours,listing_id,price_reduced_amount,primary_photo.href,source.agents,source.id,source.plan_id,source.spec_id,source.type,tax_record.public_record_id,flags.is_new_construction,flags.is_subdivision,flags.is_plan,flags.is_price_reduced,flags.is_pending,flags.is_foreclosure,flags.is_new_listing,flags.is_coming_soon,flags.is_contingent,lead_attributes.show_contact_an_agent,lead_attributes.opcity_lead_attributes.flip_the_market_enabled,lead_attributes.opcity_lead_attributes.cashback_enabled,lead_attributes.lead_type,products.products,products.brand_name,description.year_built,description.baths_3qtr,description.sold_date,description.sold_price,description.baths_full,description.name,description.baths_half,description.lot_sqft,description.sqft,description.baths,description.sub_type,description.baths_1qtr,description.garage,description.stories,description.beds,description.type,location.address.postal_code,location.address.state,location.address.coordinate.lon,location.address.coordinate.lat,location.address.city,location.address.state_code,location.address.line,location.street_view_url,location.county.fips_code,location.county.name,other_listings.rdc,tax_record,other_listings,community.advertisers,community.property_id,community.description.name
0,2022-05-07T02:27:04Z,"['carport', 'central_air', 'community_outdoor_space', 'hardwood_floors', 'laundry_room', 'single_story']",2812-Crestline-Ave_Raleigh_NC_27603_M52258-15078,for_sale,2022-05-07T02:24:07Z,,"[{'name': 'United Real Estate Triangle', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/d77ddcd29b3a0144b513a924c6b82610l-m618535518s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/d77ddcd29b3a0144b513a924c6b82610l-m3083701481s-w1024_h768.jpg'}]",,250000,False,5225815078,,,2942843435,,https://ap.rdcpix.com/d77ddcd29b3a0144b513a924c6b82610l-m618535518s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,A666BC605DCD022E9F94E29DE3E142D3,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1955.0,,2000-09-27,113000.0,1.0,,,20038.0,1120.0,1.0,,,,1.0,3.0,single_family,27603,North Carolina,-78.667219,35.742465,Raleigh,NC,2812 Crestline Ave,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=2812%20Crestline%20Ave%2C%20Raleigh%2C%20NC%2027603&size=640x480&source=outdoor&signature=BfzC0VW5_KkJfdZP0CLufwVDcd0=,37183,Wake,"[{'listing_id': '2942843435', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,,,,
1,2022-05-07T01:23:13Z,"['central_air', 'fireplace', 'forced_air', 'two_or_more_stories']",4134-Kaplan-Dr_Raleigh_NC_27606_M58881-83089,for_sale,2022-05-07T01:25:44Z,,"[{'name': 'Keynote Real Estate Llc', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/ea8c095625f394b9341e3791cb03d972l-m2530391008s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/ea8c095625f394b9341e3791cb03d972l-m817128095s-w1024_h768.jpg'}]",,230000,False,5888183089,,,2942842344,,https://ap.rdcpix.com/ea8c095625f394b9341e3791cb03d972l-m2530391008s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,3652A6E6A3AB5E1EC1B41A6C97D58D49,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1985.0,,2011-07-21,103000.0,2.0,,1.0,1307.0,1292.0,3.0,townhouse,,,2.0,2.0,townhomes,27606,North Carolina,-78.692314,35.774258,Raleigh,NC,4134 Kaplan Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=4134%20Kaplan%20Dr%2C%20Raleigh%2C%20NC%2027606&size=640x480&source=outdoor&signature=_9_hsqZweHZe2glqsIZebnRCFC4=,37183,Wake,"[{'listing_id': '2942842344', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '531804862', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,
2,2022-05-06T19:06:33Z,"['central_air', 'community_clubhouse', 'community_gym', 'community_security_features', 'community_tennis_court', 'corner_lot', 'den_or_office', 'fireplace', 'forced_air', 'laundry_room', 'recreation_facilities', 'tennis_court', 'community_swimming_pool', 'single_story', 'granite_kitchen', 'clubhouse', 'playground', 'tennis']",2501-Huntscroft-Ln-Apt-203_Raleigh_NC_27617_M68273-10367,for_sale,2022-05-06T19:14:54Z,,"[{'name': 'RE/MAX United', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/dc3ea03828efccf3a645497d993c04f9l-m2473102903s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/dc3ea03828efccf3a645497d993c04f9l-m3766166137s-w1024_h768.jpg'}]",,212470,False,6827310367,,,2942759391,,https://ap.rdcpix.com/dc3ea03828efccf3a645497d993c04f9l-m2473102903s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,D03CD44D3C463BADC73E683CDDA9D576,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2005.0,,2022-02-01,150000.0,1.0,,1.0,,1020.0,2.0,condo,,,1.0,1.0,condos,27617,North Carolina,-78.798406,35.921403,Raleigh,NC,2501 Huntscroft Ln Apt 203,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=2501%20Huntscroft%20Ln%20Apt%20203%2C%20Raleigh%2C%20NC%2027617&size=640x480&source=outdoor&signature=-ceM-ug8fm2hVr99WeyV_4zw7-E=,37183,Wake,"[{'listing_id': '2942759391', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '2942759301', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '644133114', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,
3,2022-05-06T18:05:19Z,"['central_air', 'fireplace']",4504-Waterbury-Rd_Raleigh_NC_27604_M66437-94340,for_sale,2022-05-06T18:12:16Z,,"[{'name': 'RE/MAX United', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/f6cdaccc1146de8c1a2a3adfb2a5e655l-m3055697094s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/f6cdaccc1146de8c1a2a3adfb2a5e655l-m85511983s-w1024_h768.jpg'}]",,289900,False,6643794340,,,2942823585,,https://ap.rdcpix.com/f6cdaccc1146de8c1a2a3adfb2a5e655l-m3055697094s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,08762842FA4C3B782D0943AA5DA42F4A,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1971.0,,,,2.0,,1.0,13068.0,1721.0,3.0,,,,,3.0,single_family,27604,North Carolina,-78.58416,35.841426,Raleigh,NC,4504 Waterbury Rd,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=4504%20Waterbury%20Rd%2C%20Raleigh%2C%20NC%2027604&size=640x480&source=outdoor&signature=YVUxK56TU-Prya2I0_aINE40dms=,37183,Wake,"[{'listing_id': '2942823585', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,,,,
4,2022-05-06T12:44:04Z,"['central_air', 'community_clubhouse', 'community_outdoor_space', 'community_security_features', 'family_room', 'fireplace', 'forced_air', 'laundry_room', 'recreation_facilities', 'community_swimming_pool', 'single_story']",2810-Bedford-Green-Dr-Apt-307_Raleigh_NC_27604_M54618-11915,for_sale,2022-05-06T12:50:19Z,"[{'start_date': '2022-05-07T14:00:00', 'methods': ['in_person'], 'description': None, 'end_date': '2022-05-07T16:00:00', 'dst': True, 'time_zone': 'EST'}]","[{'name': 'Howard Perry and Walston', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/cfec5d659670f062388161a7fff8ea8bl-m3004515596s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/cfec5d659670f062388161a7fff8ea8bl-m637860335s-w1024_h768.jpg'}]",,275000,False,5461811915,,,2942808866,,https://ap.rdcpix.com/cfec5d659670f062388161a7fff8ea8bl-m3004515596s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,913DA6647FC011AF0716C03BBC90BEFA,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2009.0,,2009-12-30,154000.0,2.0,,,,1200.0,2.0,condo,,,1.0,2.0,condos,27604,North Carolina,-78.613204,35.818863,Raleigh,NC,2810 Bedford Green Dr Apt 307,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=2810%20Bedford%20Green%20Dr%20Apt%20307%2C%20Raleigh%2C%20NC%2027604&size=640x480&source=outdoor&signature=gisJQ6jmwUavsKvvBASqhtRrGAM=,37183,Wake,"[{'listing_id': '2942808866', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,,,,
5,2022-05-06T19:53:48Z,"['central_air', 'community_outdoor_space', 'fireplace', 'forced_air', 'laundry_room', 'recreation_facilities', 'two_or_more_stories', 'dual_master_bedroom', 'master_bedroom', 'open_floor_plan', 'floor_plan', 'wooded_land']",4362-Bona-Ct_Raleigh_NC_27604_M52550-62546,for_sale,2022-05-06T12:31:04Z,"[{'start_date': '2022-05-07T12:00:00', 'methods': ['in_person'], 'description': None, 'end_date': '2022-05-07T15:00:00', 'dst': True, 'time_zone': 'EST'}]","[{'name': 'Lifstyl Real Estate Raleigh', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/7d057d39ed5be7b64c00207b7e964310l-m4213916197s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/7d057d39ed5be7b64c00207b7e964310l-m3007185870s-w1024_h768.jpg'}]",,259900,False,5255062546,,,2942808384,,https://ap.rdcpix.com/7d057d39ed5be7b64c00207b7e964310l-m4213916197s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,4FABAC692655201500ABD5343D7B8F9D,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1985.0,,2018-09-24,136000.0,2.0,,1.0,1307.0,1250.0,3.0,townhouse,,,2.0,2.0,townhomes,27604,North Carolina,-78.581253,35.840791,Raleigh,NC,4362 Bona Ct,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=4362%20Bona%20Ct%2C%20Raleigh%2C%20NC%2027604&size=640x480&source=outdoor&signature=9jMZPOcT4EE4wYJVNiJ7u4XIKyY=,37183,Wake,"[{'listing_id': '2942808384', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '648033170', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '2928092519', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '2927984713', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '647792670', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '644891554', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,
6,2022-05-06T12:00:09Z,"['central_air', 'community_clubhouse', 'community_gym', 'community_outdoor_space', 'community_security_features', 'community_tennis_court', 'family_room', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'tennis_court', 'community_swimming_pool', 'two_or_more_stories']",7717-Falcon-Rest-Cir_Raleigh_NC_27615_M63889-56864,for_sale,2022-05-06T11:58:00Z,,"[{'name': 'Fonville Morisey/Falls Sales Office', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/2bbb831f303e637fca2b947f6bf95fd3l-m1878744310s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/2bbb831f303e637fca2b947f6bf95fd3l-m1336721238s-w1024_h768.jpg'}]",,289900,False,6388956864,,,2942807822,,https://ap.rdcpix.com/2bbb831f303e637fca2b947f6bf95fd3l-m1878744310s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,9BB2F64F569B2CAB5F81C611744A234A,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1985.0,,2018-01-19,158000.0,2.0,,1.0,,1200.0,3.0,townhouse,,,2.0,2.0,townhomes,27615,North Carolina,-78.678662,35.892422,Raleigh,NC,7717 Falcon Rest Cir,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=7717%20Falcon%20Rest%20Cir%2C%20Raleigh%2C%20NC%2027615&size=640x480&source=outdoor&signature=yxwdkMzC8UejZskRtn2Mo22pKA0=,37183,Wake,"[{'listing_id': '2942807822', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '635859970', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '529362946', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '519691714', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,
7,2022-05-06T09:41:14Z,"['community_clubhouse', 'community_golf', 'community_outdoor_space', 'community_tennis_court', 'family_room', 'fireplace', 'golf_course_lot_or_frontage', 'golf_course_view', 'recreation_facilities', 'tennis_court', 'view', 'community_swimming_pool', 'two_or_more_stories']",5349-Cog-Hill-Ct_Raleigh_NC_27604_M62776-33007,for_sale,2022-05-06T09:41:53Z,,"[{'name': 'Molloy Realty Group', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/47664c3eb79604d10e19612948b75a62l-m596688961s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/47664c3eb79604d10e19612948b75a62l-m1246288542s-w1024_h768.jpg'}]",,264500,False,6277633007,,,2942806596,,https://ap.rdcpix.com/47664c3eb79604d10e19612948b75a62l-m596688961s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,024FFD2009EBE2C21878B3BD609EE464,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1997.0,,2004-09-07,107000.0,2.0,,1.0,2614.0,1210.0,3.0,townhouse,,,2.0,2.0,townhomes,27604,North Carolina,-78.54324,35.810881,Raleigh,NC,5349 Cog Hill Ct,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=5349%20Cog%20Hill%20Ct%2C%20Raleigh%2C%20NC%2027604&size=640x480&source=outdoor&signature=AlDk0jTZHcRhxB8U4Td5CSVrUP0=,37183,Wake,"[{'listing_id': '2942806596', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,,,,
8,2022-05-06T02:30:21Z,"['central_air', 'community_clubhouse', 'community_golf', 'community_tennis_court', 'fireplace', 'forced_air', 'golf_course_lot_or_frontage', 'golf_course_view', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'tennis_court', 'view', 'community_swimming_pool', 'two_or_more_stories', 'clubhouse', 'golf_course', 'tennis', 'trails', 'shopping']",2326-Turtle-Point-Dr_Raleigh_NC_27604_M56641-28167,for_sale,2022-05-05T12:49:12Z,,"[{'name': 'Keller Williams Preferred Realty - Brier Creek', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/e5328efc7e871829d3c764bd57d673eal-m2792227427s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/e5328efc7e871829d3c764bd57d673eal-m1781655797s-w1024_h768.jpg'}]",,239900,False,5664128167,,,2942759916,,https://ap.rdcpix.com/e5328efc7e871829d3c764bd57d673eal-m2792227427s-w1024_h768.jpg,[{'office_name': 'Keller Williams Preferred Realty'}],TANC,,,mls,B2A11A834A4CAD87AC7FE4B162770C52,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1999.0,,2016-07-29,108500.0,2.0,,1.0,1742.0,1224.0,3.0,townhouse,,,2.0,2.0,townhomes,27604,North Carolina,-78.541012,35.812929,Raleigh,NC,2326 Turtle Point Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=2326%20Turtle%20Point%20Dr%2C%20Raleigh%2C%20NC%2027604&size=640x480&source=outdoor&signature=Fa5hesWMQQED9H6O2wgtTyBZQl4=,37183,Wake,"[{'listing_id': '2942759916', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '633214794', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '633918818', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '618894862', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '618642602', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '616890650', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '563813242', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '549202534', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,
9,2022-05-05T11:58:18Z,"['central_air', 'hardwood_floors', 'laundry_room', 'two_or_more_stories', 'garage_1_or_more']",1608-Moineau-Ln_Raleigh_NC_27610_M60991-81234,for_sale,2022-05-05T12:04:32Z,,"[{'name': 'Copper Gate Realty, LLC', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/ef8c51870c5686c1f1f78428cd1efb83l-m1596893179s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/ef8c51870c5686c1f1f78428cd1efb83l-m3971974923s-w1024_h768.jpg'}]",,265000,False,6099181234,,,2942758458,,https://ap.rdcpix.com/ef8c51870c5686c1f1f78428cd1efb83l-m1596893179s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,5B2BC83E68F3D2AD89C6EE00B50237FA,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2015.0,,2015-10-23,120000.0,2.0,,1.0,5227.0,1168.0,3.0,,,1.0,2.0,3.0,single_family,27610,North Carolina,-78.569199,35.75386,Raleigh,NC,1608 Moineau Ln,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=1608%20Moineau%20Ln%2C%20Raleigh%2C%20NC%2027610&size=640x480&source=outdoor&signature=GCujXP1AxPbLRr4wXUuR64He4yU=,37183,Wake,"[{'listing_id': '2942758458', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '599213690', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,
