,last_update_date,tags,permalink,status,list_date,open_houses,branding,photos,coming_soon_date,list_price,matterport,property_id,community,virtual_tours,listing_id,price_reduced_amount,primary_photo.href,source.agents,source.id,source.plan_id,source.spec_id,source.type,tax_record.public_record_id,flags.is_new_construction,flags.is_subdivision,flags.is_plan,flags.is_price_reduced,flags.is_pending,flags.is_foreclosure,flags.is_new_listing,flags.is_coming_soon,flags.is_contingent,lead_attributes.show_contact_an_agent,lead_attributes.opcity_lead_attributes.flip_the_market_enabled,lead_attributes.opcity_lead_attributes.cashback_enabled,lead_attributes.lead_type,products.products,products.brand_name,description.year_built,description.baths_3qtr,description.sold_date,description.sold_price,description.baths_full,description.name,description.baths_half,description.lot_sqft,description.sqft,description.baths,description.sub_type,description.baths_1qtr,description.garage,description.stories,description.beds,description.type,location.address.postal_code,location.address.state,location.address.coordinate.lon,location.address.coordinate.lat,location.address.city,location.address.state_code,location.address.line,location.street_view_url,location.county.fips_code,location.county.name,other_listings.rdc,tax_record,other_listings,community.advertisers,community.property_id,community.description.name
0,2022-05-07T11:03:40Z,"['central_air', 'community_outdoor_space', 'family_room', 'fireplace', 'laundry_room', 'big_yard', 'master_suite']",7412-Mine-Shaft-Rd_Raleigh_NC_27615_M61288-71217,for_sale,2022-05-07T11:09:17Z,,"[{'name': 'Howard Perry and Walston', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/406448a53d6e40c5a17fdf4f827628d7l-m1988634497s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/406448a53d6e40c5a17fdf4f827628d7l-m4012619466s-w1024_h768.jpg'}]",,339900,False,6128871217,,,2942848271,,https://ap.rdcpix.com/406448a53d6e40c5a17fdf4f827628d7l-m1988634497s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,83D9CBAEA9B5A3CA7319723989D4A3CC,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1979.0,,2020-03-13,275000.0,2.0,,,12197.0,1584.0,2.0,,,,,3.0,single_family,27615,North Carolina,-78.655827,35.87878,Raleigh,NC,7412 Mine Shaft Rd,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=7412%20Mine%20Shaft%20Rd%2C%20Raleigh%2C%20NC%2027615&size=640x480&source=outdoor&signature=rOoXYkHzcvID18aIQ_mamEfHvmY=,37183,Wake,"[{'listing_id': '2942848271', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '2942782859', 'listing_key': None, 'status': 'for_sale', 'primary': None}, {'listing_id': '2912743627', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '620432722', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '582536178', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,
1,2022-05-06T20:47:46Z,['big_lot'],3824-Mitchell-Mill-Rd_Raleigh_NC_27616_M98141-75840,for_sale,2022-05-06T20:54:45Z,,"[{'name': 'Dallas Pearce Realty', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/a4439f9da7519c2f7433b67da4d51945l-m2531139118s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/a4439f9da7519c2f7433b67da4d51945l-m1289474438s-w1024_h768.jpg'}]",,350000,False,9814175840,,,2938420651,,https://ap.rdcpix.com/a4439f9da7519c2f7433b67da4d51945l-m2531139118s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,911387ABD022C945A0DED89CB6BDFAB8,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker']",essentials,,,2006-07-27,8000.0,,,,125017.0,,0.0,,,,,,land,27616,North Carolina,-78.514375,35.883866,Raleigh,NC,3824 Mitchell Mill Rd,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=3824%20Mitchell%20Mill%20Rd%2C%20Raleigh%2C%20NC%2027616&size=640x480&source=outdoor&signature=J96_YmTp7X1Izkq39XKYV-4b_1E=,37183,Wake,"[{'listing_id': '2938420651', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,,,,
2,2022-05-06T20:30:34Z,"['central_air', 'community_outdoor_space', 'community_security_features', 'cul_de_sac', 'family_room', 'forced_air', 'hardwood_floors', 'laundry_room', 'single_story', 'fenced_yard', 'big_lot', 'farm', 'ranch', 'new_roof', 'shopping']",7809-Hemlock-Ct_Raleigh_NC_27615_M68775-92120,for_sale,2022-05-06T20:38:16Z,,"[{'name': 'Horn Realty', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/6274a388ff6980c385e0e4fedc84c987l-m3026535650s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/6274a388ff6980c385e0e4fedc84c987l-m808137463s-w1024_h768.jpg'}]",,339900,False,6877592120,,,2942831231,,https://ap.rdcpix.com/6274a388ff6980c385e0e4fedc84c987l-m3026535650s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,F4E4D11F5CAD43FAC3A276516934A611,,,,,,,True,,True,True,False,False,co_broke,"['core.agent', 'co_broke']",basic_opt_in,1978.0,,1991-07-19,41000.0,1.0,,1.0,11761.0,1170.0,2.0,,,,1.0,3.0,single_family,27615,North Carolina,-78.651157,35.883076,Raleigh,NC,7809 Hemlock Ct,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=7809%20Hemlock%20Ct%2C%20Raleigh%2C%20NC%2027615&size=640x480&source=outdoor&signature=v9VmXCEpa9fU3ao_UXMmPsF2qjk=,37183,Wake,"[{'listing_id': '2942831231', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '2531566653', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '632562578', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '626798914', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '614998458', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '605634178', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '588768894', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,
3,2022-05-06T17:39:20Z,"['community_outdoor_space', 'corner_lot', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'two_or_more_stories']",3517-Dechart-Ln_Raleigh_NC_27616_M56817-89259,for_sale,2022-05-06T17:43:32Z,,"[{'name': 'Steele Residential', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/bf52c1d2e7b1dfcf8ee2c4411269795cl-m3510510373s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/bf52c1d2e7b1dfcf8ee2c4411269795cl-m818269468s-w1024_h768.jpg'}]",,350000,False,5681789259,,,2942822131,,https://ap.rdcpix.com/bf52c1d2e7b1dfcf8ee2c4411269795cl-m3510510373s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,276E1B00D7D0E440AE3E9BC603276EF1,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1993.0,,2019-12-02,216000.0,2.0,,1.0,9148.0,1678.0,3.0,,,,2.0,3.0,single_family,27616,North Carolina,-78.522068,35.884291,Raleigh,NC,3517 Dechart Ln,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=3517%20Dechart%20Ln%2C%20Raleigh%2C%20NC%2027616&size=640x480&source=outdoor&signature=diN-nzFf3DcOgX-w_yRiXPrtrG4=,37183,Wake,"[{'listing_id': '2942822131', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '2597248775', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,
4,2022-05-06T16:16:53Z,"['central_air', 'fireplace', 'forced_air', 'two_or_more_stories', 'fixer_upper']",2421-Bertie-Dr_Raleigh_NC_27610_M54647-38408,for_sale,2022-05-06T16:25:02Z,,"[{'name': 'New Native Realty', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/773e52fb16e2f3c20d982e62affb6027l-m1442221864s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/773e52fb16e2f3c20d982e62affb6027l-m2679882461s-w1024_h768.jpg'}]",,350000,False,5464738408,,,2942759662,,https://ap.rdcpix.com/773e52fb16e2f3c20d982e62affb6027l-m1442221864s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,FA83641E69FC796213E757CA7A53A0E0,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1967.0,,1991-03-25,86000.0,2.0,,,13068.0,1875.0,2.0,,,,2.0,4.0,single_family,27610,North Carolina,-78.601681,35.786129,Raleigh,NC,2421 Bertie Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=2421%20Bertie%20Dr%2C%20Raleigh%2C%20NC%2027610&size=640x480&source=outdoor&signature=FQ-6y_DiyM9HOdgOgZeqtgo0wlA=,37183,Wake,"[{'listing_id': '2942759662', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '2942758292', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,
5,2022-05-06T10:50:48Z,"['central_air', 'fireplace', 'forced_air', 'hardwood_floors', 'recreation_facilities', 'community_swimming_pool', 'two_or_more_stories']",3525-E-Jameson-Rd_Raleigh_NC_27604_M69761-36387,for_sale,2022-05-06T10:59:23Z,,"[{'name': 'Hunter Rowe Real Estate', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/9855e42ff11f529aa7e1125182caeb4dl-m2787087168s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/9855e42ff11f529aa7e1125182caeb4dl-m3465555794s-w1024_h768.jpg'}]",,320000,False,6976136387,,,2942807198,,https://ap.rdcpix.com/9855e42ff11f529aa7e1125182caeb4dl-m2787087168s-w1024_h768.jpg,[{'office_name': 'Hunter Rowe Real Estate'}],TANC,,,mls,9FDF02E0CD5098DA23A90CE22CE5E787,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1985.0,,1996-09-03,102000.0,2.0,,1.0,5227.0,1566.0,3.0,,,,2.0,3.0,single_family,27604,North Carolina,-78.580869,35.816359,Raleigh,NC,3525 E Jameson Rd,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=3525%20E%20Jameson%20Rd%2C%20Raleigh%2C%20NC%2027604&size=640x480&source=outdoor&signature=IMTapuJ7MYdMwy1g9Id804-ZVNI=,37183,Wake,"[{'listing_id': '2942807198', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,,,,
6,2022-05-06T01:15:17Z,"['central_air', 'forced_air', 'two_or_more_stories']",5121-Powell-Townes-Way_Raleigh_NC_27606_M67575-31555,for_sale,2022-05-06T01:19:59Z,,"[{'name': 'RE/MAX United', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/b0f0a86d5087dfaf6e2bfa8619a878b9l-m2903853467s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/b0f0a86d5087dfaf6e2bfa8619a878b9l-m3287721996s-w1024_h768.jpg'}]",,330000,False,6757531555,,,2942796784,,https://ap.rdcpix.com/b0f0a86d5087dfaf6e2bfa8619a878b9l-m2903853467s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,FA298366D857602E0B4736BAF44A189F,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2006.0,,2006-07-24,146500.0,2.0,,1.0,1742.0,1500.0,3.0,townhouse,,,2.0,3.0,townhomes,27606,North Carolina,-78.712308,35.787911,Raleigh,NC,5121 Powell Townes Way,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=5121%20Powell%20Townes%20Way%2C%20Raleigh%2C%20NC%2027606&size=640x480&source=outdoor&signature=tbQl88vYL7319V7N00kJJsFUqMc=,37183,Wake,"[{'listing_id': '2942796784', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '541062162', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,
7,2022-05-05T22:43:38Z,"['central_air', 'fireplace', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'community_swimming_pool', 'two_or_more_stories', 'garage_1_or_more']",7704-Weathered-Oak-Way_Raleigh_NC_27616_M68946-70222,for_sale,2022-05-05T22:48:58Z,,"[{'name': 'Costello Real Estate and Investments', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/3a329f5baefa0f1f9200036705c8863cl-m2456681801s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/3a329f5baefa0f1f9200036705c8863cl-m174983363s-w1024_h768.jpg'}]",,349990,False,6894670222,,,2942789012,,https://ap.rdcpix.com/3a329f5baefa0f1f9200036705c8863cl-m2456681801s-w1024_h768.jpg,"[{'office_name': 'Costello Real Estate & Investments Triangle, LLC'}]",TANC,,,mls,67D80DFB84459912195F1E6B172DDDC1,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2015.0,,2021-10-08,310000.0,2.0,,1.0,1742.0,1645.0,3.0,townhouse,,1.0,2.0,3.0,townhomes,27616,North Carolina,-78.505769,35.840334,Raleigh,NC,7704 Weathered Oak Way,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=7704%20Weathered%20Oak%20Way%2C%20Raleigh%2C%20NC%2027616&size=640x480&source=outdoor&signature=lVVfab05fSNkIDksLQQiSUhNa90=,37183,Wake,"[{'listing_id': '2942789012', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '2932940625', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,
8,2022-05-05T21:23:36Z,"['central_air', 'community_golf', 'community_outdoor_space', 'community_tennis_court', 'cul_de_sac', 'forced_air', 'golf_course_lot_or_frontage', 'golf_course_view', 'laundry_room', 'recreation_facilities', 'tennis_court', 'view', 'community_swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more']",120-Cupp-Ct_Raleigh_NC_27603_M68608-13335,for_sale,2022-05-05T21:32:06Z,"[{'start_date': '2022-05-07T11:00:00', 'methods': ['in_person'], 'description': None, 'end_date': '2022-05-07T13:00:00', 'dst': True, 'time_zone': 'EST'}]","[{'name': 'Heyward Realty', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/4b76149c41d3c13763892ce0d8550a61l-m929557358s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/4b76149c41d3c13763892ce0d8550a61l-m3283290680s-w1024_h768.jpg'}]",,350000,False,6860813335,,,2942786176,,https://ap.rdcpix.com/4b76149c41d3c13763892ce0d8550a61l-m929557358s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,58D4961400EA59AE59D872BA5E18733B,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'co_broke']",basic_opt_in,2005.0,,2018-05-17,217000.0,2.0,,1.0,6970.0,1654.0,3.0,,,2.0,2.0,3.0,single_family,27603,North Carolina,-78.663365,35.668673,Raleigh,NC,120 Cupp Ct,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=120%20Cupp%20Ct%2C%20Raleigh%2C%20NC%2027603&size=640x480&source=outdoor&signature=iwYWJaHeODvWfEpaotvo4_OKUEQ=,37183,Wake,"[{'listing_id': '2942786176', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '639506002', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '611480598', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,
9,2022-05-05T21:11:53Z,"['central_air', 'community_security_features', 'forced_air', 'laundry_room', 'recreation_facilities', 'two_or_more_stories']",221-Socket-St_Raleigh_NC_27606_M99609-19833,for_sale,2022-05-05T21:17:43Z,"[{'start_date': '2022-05-07T12:00:00', 'methods': ['in_person'], 'description': None, 'end_date': '2022-05-07T15:00:00', 'dst': True, 'time_zone': 'EST'}]","[{'name': 'Premier Agents Network', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/ce82f4224cbd97e51b253ff9d054edc6l-m2552539407s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/ce82f4224cbd97e51b253ff9d054edc6l-m3648594298s-w1024_h768.jpg'}]",,318000,False,9960919833,,,2942785477,,https://ap.rdcpix.com/ce82f4224cbd97e51b253ff9d054edc6l-m2552539407s-w1024_h768.jpg,[{'office_name': 'Premier Agents Network'}],TANC,,,mls,9EC7841D8CD51F131679AA9125CC02DB,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'co_broke']",basic_opt_in,2020.0,,2020-12-18,221500.0,2.0,,1.0,1307.0,1289.0,3.0,townhouse,,,2.0,3.0,townhomes,27606,North Carolina,-78.738333,35.785614,Raleigh,NC,221 Socket St,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=221%20Socket%20St%2C%20Raleigh%2C%20NC%2027606&size=640x480&source=outdoor&signature=QrEepF3qk7JXloxbiu9uaCPgo2c=,37183,Wake,"[{'listing_id': '2942785477', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '2918865243', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,
