,last_update_date,tags,permalink,status,list_date,open_houses,branding,photos,coming_soon_date,list_price,matterport,property_id,community,virtual_tours,listing_id,price_reduced_amount,primary_photo.href,source.agents,source.id,source.plan_id,source.spec_id,source.type,tax_record.public_record_id,flags.is_new_construction,flags.is_subdivision,flags.is_plan,flags.is_price_reduced,flags.is_pending,flags.is_foreclosure,flags.is_new_listing,flags.is_coming_soon,flags.is_contingent,lead_attributes.show_contact_an_agent,lead_attributes.opcity_lead_attributes.flip_the_market_enabled,lead_attributes.opcity_lead_attributes.cashback_enabled,lead_attributes.lead_type,products.products,products.brand_name,description.year_built,description.baths_3qtr,description.sold_date,description.sold_price,description.baths_full,description.name,description.baths_half,description.lot_sqft,description.sqft,description.baths,description.sub_type,description.baths_1qtr,description.garage,description.stories,description.beds,description.type,location.address.postal_code,location.address.state,location.address.coordinate.lon,location.address.coordinate.lat,location.address.city,location.address.state_code,location.address.line,location.street_view_url,location.county.fips_code,location.county.name,other_listings.rdc,tax_record,products
0,2022-05-06T19:44:30Z,"['central_air', 'forced_air', 'recreation_facilities', 'two_or_more_stories']",1823-Vintage-Rd_Raleigh_NC_27610_M54663-78110,for_sale,2022-05-06T19:47:53Z,,"[{'name': 'Movil Realty', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/c60cae514b890216ab3fb18b64871bd6l-m1499794983s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/c60cae514b890216ab3fb18b64871bd6l-m31599947s-w1024_h768.jpg'}]",,195000,False,5466378110,,,2942828631,,https://ap.rdcpix.com/c60cae514b890216ab3fb18b64871bd6l-m1499794983s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,3D5AE439ED77E9230E95F5F09B3918D0,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1996.0,,2019-10-29,95000.0,1.0,,1.0,871.0,951.0,2,townhouse,,,2.0,2.0,townhomes,27610,North Carolina,-78.54975,35.754411,Raleigh,NC,1823 Vintage Rd,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=1823%20Vintage%20Rd%2C%20Raleigh%2C%20NC%2027610&size=640x480&source=outdoor&signature=IJmqtctyrGxXCGq2WgwHeg_rLgM=,37183,Wake,"[{'listing_id': '2942828631', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,
1,2022-05-06T10:12:54Z,"['central_air', 'city_view', 'community_clubhouse', 'community_security_features', 'community_tennis_court', 'den_or_office', 'fireplace', 'forced_air', 'laundry_room', 'recreation_facilities', 'tennis_court', 'view', 'community_swimming_pool', 'single_story']",2501-Huntscroft-Ln-Apt-301_Raleigh_NC_27617_M59281-98121,for_sale,2022-05-06T10:16:58Z,,"[{'name': 'Parkside Realty Inc.', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/8cf707136a5dd43025b2fae2ec9d9c5dl-m3636655508s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/8cf707136a5dd43025b2fae2ec9d9c5dl-m2205134372s-w1024_h768.jpg'}]",,199000,False,5928198121,,,2942806768,,https://ap.rdcpix.com/8cf707136a5dd43025b2fae2ec9d9c5dl-m3636655508s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,8C0D94D886F69811D9AF20422024E43A,,,,,,,True,,,True,False,False,co_broke,"['core.broker', 'co_broke']",essentials,2005.0,,2012-10-18,68000.0,1.0,,1.0,,1003.0,2,condo,,,1.0,1.0,condos,27617,North Carolina,-78.798406,35.921403,Raleigh,NC,2501 Huntscroft Ln Apt 301,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=2501%20Huntscroft%20Ln%20Apt%20301%2C%20Raleigh%2C%20NC%2027617&size=640x480&source=outdoor&signature=uczn5T1jUWc4Jx7TDUSUPjSmN54=,37183,Wake,"[{'listing_id': '2942806768', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '2921203088', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '2920638632', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '552636598', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,
2,2022-05-05T19:42:21Z,"['community_outdoor_space', 'hardwood_floors', 'laundry_room', 'single_story', 'big_lot', 'investment_opportunity']",3315-Tryon-Rd_Raleigh_NC_27603_M61635-86628,for_sale,2022-05-05T19:46:12Z,,"[{'name': 'Keller Williams Realty', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/f85e27d2d185d5c0c562a202bf9d1fedl-m3391438163s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/f85e27d2d185d5c0c562a202bf9d1fedl-m1066988830s-w1024_h768.jpg'}]",,149000,False,6163586628,,,2942780468,,https://ap.rdcpix.com/f85e27d2d185d5c0c562a202bf9d1fedl-m3391438163s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,3B7E915035D7CBAB89AA59E8FA8E6CFB,,,,,,,True,,True,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1960.0,,2019-12-06,57500.0,1.0,,,21780.0,480.0,1,,,,1.0,1.0,single_family,27603,North Carolina,-78.692494,35.744898,Raleigh,NC,3315 Tryon Rd,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=3315%20Tryon%20Rd%2C%20Raleigh%2C%20NC%2027603&size=640x480&source=outdoor&signature=JoGfDyBt8e3PiWJjcW83J-oorF0=,37183,Wake,"[{'listing_id': '2942780468', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '2917631353', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '2915407292', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '2306053335', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,
3,2022-05-04T21:49:54Z,"['central_air', 'community_clubhouse', 'community_outdoor_space', 'forced_air', 'laundry_room', 'recreation_facilities', 'community_swimming_pool', 'single_story']",5612-Falls-of-Neuse-Rd-Apt-F_Raleigh_NC_27609_M98098-34029,for_sale,2022-05-04T20:33:32Z,,"[{'name': 'Golden Realty', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/b0ec6d205c7701f142d3aeddce2313dal-m1983495982s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/b0ec6d205c7701f142d3aeddce2313dal-m3829715273s-w1024_h768.jpg'}]",,185000,False,9809834029,,,2942737601,,https://ap.rdcpix.com/b0ec6d205c7701f142d3aeddce2313dal-m1983495982s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1972.0,,,,2.0,,,,950.0,2,condo,,,1.0,2.0,condos,27609,North Carolina,-78.617317,35.860791,Raleigh,NC,5612 Falls of Neuse Rd Apt F,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=5612%20Falls%20of%20Neuse%20Rd%20Apt%20F%2C%20Raleigh%2C%20NC%2027609&size=640x480&source=outdoor&signature=ajX4dCirhdPq8DMGXPWcq9t6jXw=,37183,Wake,"[{'listing_id': '2942737601', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,
4,2022-05-04T17:55:26Z,"['central_air', 'community_outdoor_space', 'community_tennis_court', 'laundry_room', 'recreation_facilities', 'tennis_court', 'community_swimming_pool', 'single_story', 'private_backyard', 'pond', 'clubhouse', 'tennis', 'hoa']",612-Pine-Ridge-Pl_Raleigh_NC_27609_M53589-58067,for_sale,2022-05-04T18:01:10Z,,"[{'name': 'Fonville Morisey/Stonehenge Sales Office', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/6ed91556d51a03bb556dcc412864106cl-m987092680s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/6ed91556d51a03bb556dcc412864106cl-m1007956389s-w1024_h768.jpg'}]",,148000,False,5358958067,,,2942730393,,https://ap.rdcpix.com/6ed91556d51a03bb556dcc412864106cl-m987092680s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,ADB20584DFD7438B3CD94F94ACFEF5CF,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1972.0,,2012-09-28,52000.0,1.0,,,,904.0,1,condo,,,1.0,2.0,condos,27609,North Carolina,-78.624813,35.851912,Raleigh,NC,612 Pine Ridge Pl Unit 612,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=612%20Pine%20Ridge%20Pl%20Unit%20612%2C%20Raleigh%2C%20NC%2027609&size=640x480&source=outdoor&signature=UN3i5JJtjvOceQaqb537A9UxwOQ=,37183,Wake,"[{'listing_id': '2942730393', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '533013706', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '503335542', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,
5,2022-05-06T16:48:11Z,"['central_air', 'forced_air', 'laundry_room', 'recreation_facilities', 'community_swimming_pool', 'single_story']",5068-Flint-Ridge-Pl_Raleigh_NC_27609_M50181-49651,for_sale,2022-05-04T11:32:37Z,,"[{'name': 'NCHomestead', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/cd008eb3ab0b4fb9f821a0ef98e34bbfl-m3172669183s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/cd008eb3ab0b4fb9f821a0ef98e34bbfl-m1510329984s-w1024_h768.jpg'}]",,145000,False,5018149651,,,2942717301,,https://ap.rdcpix.com/cd008eb3ab0b4fb9f821a0ef98e34bbfl-m3172669183s-w1024_h768.jpg,[{'office_name': 'NCHomestead'}],TANC,,,mls,96DCEF6EBFF6B338BBA754DA7D252D1A,,,,,,,True,,True,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1972.0,,2015-12-29,54000.0,1.0,,,,818.0,1,condo,,,1.0,1.0,condos,27609,North Carolina,-78.624813,35.851912,Raleigh,NC,5068 Flint Ridge Pl Unit 5068,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=5068%20Flint%20Ridge%20Pl%20Unit%205068%2C%20Raleigh%2C%20NC%2027609&size=640x480&source=outdoor&signature=6hTIbR0u5H-VbKN_WVozRbrvGOM=,37183,Wake,"[{'listing_id': '2942717301', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '606879494', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,
6,2022-05-02T19:32:23Z,,2621-Old-Williams-Rd_Raleigh_NC_27610_M92956-39983,for_sale,2022-05-02T19:26:58Z,,"[{'name': 'Davis Real Estate Services', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/a3218d36edbb838367c6c2b24498b08dl-m3986442648s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/a3218d36edbb838367c6c2b24498b08dl-m4190455938s-w1024_h768.jpg'}]",,125000,False,9295639983,,,2942659533,,https://ap.rdcpix.com/a3218d36edbb838367c6c2b24498b08dl-m3986442648s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,E283E8DFC34D43E7EF79830577647854,,,,,,,True,,,True,False,False,co_broke,,,,,,,,,,43560.0,,0,,,,,,land,27610,North Carolina,-78.584292,35.744609,Raleigh,NC,2621 Old Williams Rd,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=2621%20Old%20Williams%20Rd%2C%20Raleigh%2C%20NC%2027610&size=640x480&source=outdoor&signature=7DO5BD_Ghf82wKW-B23S_tMwXfU=,37183,Wake,"[{'listing_id': '2942659533', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,
7,2022-05-04T01:33:09Z,"['central_air', 'community_outdoor_space', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'single_story']",3601-Helix-Ct-Apt-302_Raleigh_NC_27606_M61597-77278,for_sale,2022-05-02T00:42:26Z,,"[{'name': 'FATHOM REALTY', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/a471017ebe84e85d3559ed8acd274408l-m3597920707s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/a471017ebe84e85d3559ed8acd274408l-m784677668s-w1024_h768.jpg'}]",,200000,False,6159777278,,,2942632636,,https://ap.rdcpix.com/a471017ebe84e85d3559ed8acd274408l-m3597920707s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,DE1071D7BCC2DE759FB7003C01EEAAD7,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1985.0,,2006-06-08,96000.0,2.0,,,,960.0,2,condo,,,1.0,2.0,condos,27606,North Carolina,-78.683379,35.775571,Raleigh,NC,3601 Helix Ct Unit 302,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=3601%20Helix%20Ct%20Unit%20302%2C%20Raleigh%2C%20NC%2027606&size=640x480&source=outdoor&signature=Ytl9SBvOCYsuUyaEmXI9j_1bpuY=,37183,Wake,"[{'listing_id': '2942632636', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,
8,2022-05-03T00:30:53Z,"['central_air', 'community_clubhouse', 'community_outdoor_space', 'community_security_features', 'community_tennis_court', 'disability_features', 'energy_efficient', 'family_room', 'fireplace', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'tennis_court', 'community_swimming_pool', 'two_or_more_stories', 'vaulted_ceiling', 'master_bathroom', 'big_bathroom', 'big_lot', 'ensuite', 'park', 'tennis', 'shopping']",4911-Hollenden-Dr-Apt-203_Raleigh_NC_27616_M61265-39207,for_sale,2022-04-29T18:15:07Z,,"[{'name': 'United Real Estate Triangle', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/6eb7d85ef2a210e92f27a727968de69bl-m1169019847s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/6eb7d85ef2a210e92f27a727968de69bl-m3538804061s-w1024_h768.jpg'}]",,165000,False,6126539207,,,2942576859,,https://ap.rdcpix.com/6eb7d85ef2a210e92f27a727968de69bl-m1169019847s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,2F1D0EE184BAF52754BDAC37AA680DC0,,,,,,,True,,True,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1986.0,,1991-07-31,61500.0,1.0,,1.0,,905.0,2,condo,,,2.0,1.0,condos,27616,North Carolina,-78.576288,35.853124,Raleigh,NC,4911 Hollenden Dr Apt 203,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=4911%20Hollenden%20Dr%20Apt%20203%2C%20Raleigh%2C%20NC%2027616&size=640x480&source=outdoor&signature=DmAjoCCfuU8p36UIqQd3Mc50Vx8=,37183,Wake,"[{'listing_id': '2942576859', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,
9,2022-04-27T14:02:21Z,"['game_room', 'recreation_facilities']",6001-Lake-Wheeler-Rd_Raleigh_NC_27603_M53692-95711,for_sale,2022-04-27T14:07:41Z,,"[{'name': 'Keller Williams Preferred Realty - Brier Creek', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/b92648e71e7f75664f83419e02312507l-m3882057250s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/b92648e71e7f75664f83419e02312507l-m605593572s-w1024_h768.jpg'}]",,125000,False,5369295711,,,2942473032,,https://ap.rdcpix.com/b92648e71e7f75664f83419e02312507l-m3882057250s-w1024_h768.jpg,[{'office_name': None}],TANC,,,mls,350423F46F5C05178EC2CCD280E42B42,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker']",essentials,,,,,,,,24829.0,,0,,,,,,land,27603,North Carolina,-78.689484,35.699657,Raleigh,NC,6001 Lake Wheeler Rd,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=6001%20Lake%20Wheeler%20Rd%2C%20Raleigh%2C%20NC%2027603&size=640x480&source=outdoor&signature=nR6GAUw2YeT50TxmGcFe6SdlD4U=,37183,Wake,"[{'listing_id': '2942473032', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '611345138', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,
