,primary_photo,last_update_date,tags,permalink,status,list_date,open_houses,branding,photos,coming_soon_date,list_price,matterport,property_id,community,virtual_tours,listing_id,price_reduced_amount,source.agents,source.id,source.plan_id,source.spec_id,source.type,tax_record.public_record_id,flags.is_new_construction,flags.is_subdivision,flags.is_plan,flags.is_price_reduced,flags.is_pending,flags.is_foreclosure,flags.is_new_listing,flags.is_coming_soon,flags.is_contingent,lead_attributes.show_contact_an_agent,lead_attributes.opcity_lead_attributes.flip_the_market_enabled,lead_attributes.opcity_lead_attributes.cashback_enabled,lead_attributes.lead_type,products.products,products.brand_name,description.year_built,description.baths_3qtr,description.sold_date,description.sold_price,description.baths_full,description.name,description.baths_half,description.lot_sqft,description.sqft,description.baths,description.sub_type,description.baths_1qtr,description.garage,description.stories,description.beds,description.type,location.address.postal_code,location.address.state,location.address.coordinate.lon,location.address.coordinate.lat,location.address.city,location.address.state_code,location.address.line,location.street_view_url,location.county.fips_code,location.county.name,other_listings.rdc,primary_photo.href,tax_record,other_listings,community.advertisers,community.property_id,community.description.name,location.address.coordinate
0,,2022-04-15T15:10:03Z,"['central_air', 'community_outdoor_space', 'community_security_features', 'energy_efficient', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'tennis_court', 'view', 'community_swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'granite_kitchen', 'pond', 'tennis', 'groundscare']",4709-Waterford-Cove-Dr_Raleigh_NC_27616_M62489-64125,for_sale,2022-04-15T15:20:42Z,,"[{'name': 'Better Homes and Gardens Real Estate Paracle', 'photo': None, 'type': 'Office'}]",,,430000,False,6248964125,,,2942135465,,[{'office_name': None}],TANC,,,mls,791CF883D4CFD541A15A696200261DC2,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1999.0,,2009-03-02,180000.0,2.0,,1.0,8276.0,1970.0,3.0,,,2.0,2.0,3.0,single_family,27616,North Carolina,-78.559963,35.836342,Raleigh,NC,4709 Waterford Cove Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=4709%20Waterford%20Cove%20Dr%2C%20Raleigh%2C%20NC%2027616&size=640x480&source=outdoor&signature=8-HYwairW_mD2AWVN7ONEsY2ZVU=,37183,Wake,"[{'listing_id': '2942135465', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '503319346', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,,,
1,,2022-04-15T14:26:00Z,"['central_air', 'community_outdoor_space', 'den_or_office', 'family_room', 'fireplace', 'hardwood_floors', 'two_or_more_stories', 'modern_kitchen', 'large_kitchen', 'fenced_yard', 'master_suite', 'new_roof']",2825-Tryon-Pines-Dr_Raleigh_NC_27603_M57071-16098,for_sale,2022-04-15T14:32:43Z,,"[{'name': 'USREALTY   .com', 'photo': None, 'type': 'Office'}]",,,449000,False,5707116098,,,2942133706,,[{'office_name': None}],TANC,,,mls,72EC231FDAA002C6B7F4A66DC28A05CA,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1996.0,,1996-08-30,150000.0,3.0,,,10890.0,2037.0,3.0,,,,2.0,4.0,single_family,27603,North Carolina,-78.669535,35.741705,Raleigh,NC,2825 Tryon Pines Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=2825%20Tryon%20Pines%20Dr%2C%20Raleigh%2C%20NC%2027603&size=640x480&source=outdoor&signature=Y07lpfG5OLWkko234UQQGkYBjVU=,37183,Wake,"[{'listing_id': '2942133706', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '603897790', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '569737086', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '555101902', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '533135226', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '521603278', 'listing_key': None, 'status': 'off_market', 'primary': None}]",,,,,,,
2,,2022-04-15T14:37:04Z,"['central_air', 'community_outdoor_space', 'community_security_features', 'cul_de_sac', 'family_room', 'fireplace', 'forced_air', 'laundry_room', 'recreation_facilities', 'view', 'garage_1_or_more', 'garage_2_or_more', 'two_or_more_stories', 'fenced_yard']",12219-N-Exeter-Way_Durham_NC_27703_M56272-18957,for_sale,2022-04-15T13:43:29Z,,"[{'name': 'Hunter Rowe Real Estate', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/34224c2a3c89ea390025e16193796cb7l-m678331476s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/34224c2a3c89ea390025e16193796cb7l-m221857935s-w1024_h768.jpg'}]",,469900,False,5627218957,,,2942132104,,[{'office_name': None}],TANC,,,mls,36EFE6697795E40E86543A0980D1E504,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2002.0,,2015-09-09,221000.0,3.0,,,6665.0,2407.0,3.0,,,2.0,,4.0,single_family,27703,North Carolina,-78.755264,35.926794,Durham,NC,12219 N Exeter Way,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=12219%20N%20Exeter%20Way%2C%20Durham%2C%20NC%2027703&size=640x480&source=outdoor&signature=ZG2MvCR79zxmWMiAs-KbHZSq-7w=,37063,Durham,"[{'listing_id': '2942132104', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '604373714', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '510396782', 'listing_key': None, 'status': 'off_market', 'primary': None}]",https://ap.rdcpix.com/34224c2a3c89ea390025e16193796cb7l-m678331476s-w1024_h768.jpg,,,,,,
3,,2022-04-15T13:35:09Z,"['corner_lot', 'den_or_office', 'family_room', 'laundry_room', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'open_floor_plan', 'floor_plan']",3560-Bonita-Grove-Dr_Raleigh_NC_27604_M96175-47360,for_sale,2022-04-15T13:43:29Z,,"[{'name': 'Raleigh Realty Inc.', 'photo': None, 'type': 'Office'}]",,,425000,False,9617547360,,,2942132106,,[{'office_name': None}],TANC,,,mls,1D2B32E5B0C1EF9E135171998C969FF3,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2022.0,,2022-02-11,404500.0,2.0,,,8712.0,1775.0,2.0,,,2.0,1.0,4.0,single_family,27604,North Carolina,-78.520151,35.806082,Raleigh,NC,3560 Bonita Grove Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=3560%20Bonita%20Grove%20Dr%2C%20Raleigh%2C%20NC%2027604&size=640x480&source=outdoor&signature=xECmmui-3LGh_Cq7g0SffGzZbhk=,37183,Wake,"[{'listing_id': '2942132106', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",,,,,,,
4,,2022-04-15T12:07:51Z,"['central_air', 'community_outdoor_space', 'community_security_features', 'corner_lot', 'family_room', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'granite_kitchen', 'updated_kitchen', 'no_hoa', 'new_roof']",3401-Savan-Ct_Raleigh_NC_27613_M69091-57992,for_sale,2022-04-15T12:05:56Z,,"[{'name': 'CB Advantage (Chapel Hill)', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/daa4d5564c64800452754e93bf157622l-m1830661467s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/daa4d5564c64800452754e93bf157622l-m1192509934s-w1024_h768.jpg'}]",,479900,False,6909157992,,,2942129958,,[{'office_name': 'Coldwell Banker Advantage'}],TANC,,,mls,18603B664F190CD9B426A0FF8E40F334,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1995.0,,1996-01-23,182000.0,2.0,,1.0,13068.0,2309.0,3.0,,,2.0,2.0,3.0,single_family,27613,North Carolina,-78.704014,35.871588,Raleigh,NC,3401 Savan Ct,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=3401%20Savan%20Ct%2C%20Raleigh%2C%20NC%2027613&size=640x480&source=outdoor&signature=_HiUJTzfW583jkM2bJmJWoNmo-4=,37183,Wake,"[{'listing_id': '2942129958', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",https://ap.rdcpix.com/daa4d5564c64800452754e93bf157622l-m1830661467s-w1024_h768.jpg,,,,,,
5,,2022-04-15T15:09:10Z,"['central_air', 'city_view', 'community_clubhouse', 'community_outdoor_space', 'den_or_office', 'fireplace', 'forced_air', 'hardwood_floors', 'recreation_facilities', 'view', 'community_swimming_pool', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'granite_kitchen', 'fenced_yard', 'high_ceiling', 'open_floor_plan', 'floor_plan', 'farm', 'ranch']",6400-Giddings-St_Raleigh_NC_27616_M62466-71029,for_sale,2022-04-15T09:10:19Z,"[{'start_date': '2022-04-16T13:00:00', 'methods': ['in_person'], 'description': None, 'end_date': '2022-04-16T16:00:00', 'dst': True, 'time_zone': 'EST'}]","[{'name': 'Living in Reverie, LLC', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/5f032db1a84d8a06a8639cae35365bddl-m1295922284s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/5f032db1a84d8a06a8639cae35365bddl-m4264564647s-w1024_h768.jpg'}]",,449000,False,6246671029,,,2942128845,,[{'office_name': None}],TANC,,,mls,1701E065A2E79A96E9FC7A2A977DE8D6,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'co_broke']",basic_opt_in,2016.0,,2016-08-19,311000.0,2.0,,,6098.0,1825.0,2.0,,,2.0,1.0,3.0,single_family,27616,North Carolina,-78.538422,35.860372,Raleigh,NC,6400 Giddings St,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=6400%20Giddings%20St%2C%20Raleigh%2C%20NC%2027616&size=640x480&source=outdoor&signature=zk4s3OizeqRTHtQV2rs7bJAQaCg=,37183,Wake,"[{'listing_id': '2942128845', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",https://ap.rdcpix.com/5f032db1a84d8a06a8639cae35365bddl-m1295922284s-w1024_h768.jpg,,,,,,
6,,2022-04-15T02:14:30Z,"['central_air', 'community_outdoor_space', 'fireplace', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'new_roof']",5605-Severn-Grove-Dr_Durham_NC_27703_M63686-33443,for_sale,2022-04-15T02:23:01Z,,"[{'name': 'Keller Williams Realty', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/4a44c48e42f5d1bfcadec78f86b0d745l-m2936287584s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/4a44c48e42f5d1bfcadec78f86b0d745l-m1293301408s-w1024_h768.jpg'}]",,415000,False,6368633443,,,2942119434,,[{'office_name': None}],TANC,,,mls,D85357483FC481161A6CE50647D164F8,,,,,,,True,,,True,False,False,co_broke,"['core.broker', 'co_broke']",essentials,2003.0,,2018-06-19,246600.0,2.0,,1.0,8364.0,2038.0,3.0,,,2.0,2.0,3.0,single_family,27703,North Carolina,-78.753293,35.929939,Durham,NC,5605 Severn Grove Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=5605%20Severn%20Grove%20Dr%2C%20Durham%2C%20NC%2027703&size=640x480&source=outdoor&signature=oNx4sawb9QKBuzybM2L0SqmdBzM=,37063,Durham,"[{'listing_id': '2942119434', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '643426614', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '603288118', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '558907678', 'listing_key': None, 'status': 'off_market', 'primary': None}]",https://ap.rdcpix.com/4a44c48e42f5d1bfcadec78f86b0d745l-m2936287584s-w1024_h768.jpg,,,,,,
7,,2022-04-14T17:36:18Z,"['carport', 'central_air', 'community_outdoor_space', 'corner_lot', 'den_or_office', 'fireplace', 'hardwood_floors', 'laundry_room', 'single_story', 'no_hoa', 'big_lot', 'farm', 'ranch', 'park']",1915-Jones-Franklin-Rd_Raleigh_NC_27606_M68936-25218,for_sale,2022-04-14T17:42:17Z,"[{'start_date': '2022-04-17T13:00:00', 'methods': ['in_person'], 'description': None, 'end_date': '2022-04-17T16:00:00', 'dst': True, 'time_zone': 'EST'}]","[{'name': 'Redfin Corporation', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/4b6bb5a3e7c7066b44eedc2a290afd50l-m3687148393s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/4b6bb5a3e7c7066b44eedc2a290afd50l-m3280010339s-w1024_h768.jpg'}]",,418000,False,6893625218,,,2942098709,,[{'office_name': None}],TANC,,,mls,E32ED080B54916FD5CD24E0E1300DCC0,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1959.0,,2015-02-06,128000.0,1.0,,1.0,26572.0,1446.0,2.0,,,,1.0,3.0,single_family,27606,North Carolina,-78.730644,35.753563,Raleigh,NC,1915 Jones Franklin Rd,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=1915%20Jones%20Franklin%20Rd%2C%20Raleigh%2C%20NC%2027606&size=640x480&source=outdoor&signature=NESrIOnkYqbIeJGsA-UNIon5dF8=,37183,Wake,"[{'listing_id': '2942098709', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '2926991807', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '2753984945', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '2721178262', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '561014022', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '523056562', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '503369862', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '503355262', 'listing_key': None, 'status': 'off_market', 'primary': None}]",https://ap.rdcpix.com/4b6bb5a3e7c7066b44eedc2a290afd50l-m3687148393s-w1024_h768.jpg,,,,,,
8,,2022-04-15T13:27:51Z,"['central_air', 'community_outdoor_space', 'den_or_office', 'family_room', 'fireplace', 'hardwood_floors', 'laundry_room', 'view', 'basement', 'modern_kitchen', 'large_kitchen', 'big_yard', 'no_hoa', 'screen_porch', 'big_lot']",6201-Arnold-Rd_Raleigh_NC_27607_M58947-12853,for_sale,2022-04-14T15:19:02Z,"[{'start_date': '2022-04-16T13:00:00', 'methods': ['in_person'], 'description': None, 'end_date': '2022-04-16T16:00:00', 'dst': True, 'time_zone': 'EST'}]","[{'name': 'Redfin Corporation', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/a5019916b96831df9f6dd0b3862cf0e1l-m1799404319s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/a5019916b96831df9f6dd0b3862cf0e1l-m2448049797s-w1024_h768.jpg'}]",,485000,False,5894712853,,,2942092510,,[{'office_name': None}],TANC,,,mls,EE4F09F0C82E74A042A1CA64B9991C1E,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,1964.0,,,,2.0,,1.0,32670.0,2392.0,3.0,,,,,4.0,single_family,27607,North Carolina,-78.745959,35.804203,Raleigh,NC,6201 Arnold Rd,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=6201%20Arnold%20Rd%2C%20Raleigh%2C%20NC%2027607&size=640x480&source=outdoor&signature=_Y3cl0MGxdvY5eNmmzZcdyJfgOM=,37183,Wake,"[{'listing_id': '2942092510', 'listing_key': None, 'status': 'for_sale', 'primary': True}]",https://ap.rdcpix.com/a5019916b96831df9f6dd0b3862cf0e1l-m1799404319s-w1024_h768.jpg,,,,,,
9,,2022-04-14T18:32:59Z,"['central_air', 'community_outdoor_space', 'family_room', 'fireplace', 'forced_air', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'community_swimming_pool', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'gourmet_kitchen', 'vaulted_ceiling']",7532-Oakberry-Dr_Raleigh_NC_27616_M64236-91471,for_sale,2022-04-14T13:56:10Z,,"[{'name': 'EXP Realty LLC', 'photo': None, 'type': 'Office'}]","[{'href': 'https://ap.rdcpix.com/c1b77e10a9cd3981a157b64796851d4dl-m667403786s-w1024_h768.jpg'}, {'href': 'https://ap.rdcpix.com/c1b77e10a9cd3981a157b64796851d4dl-m3762890041s-w1024_h768.jpg'}]",,475000,False,6423691471,,,2942089272,,[{'office_name': None}],TANC,,,mls,6881A0F3BD91A5E2DCDE50575C60CBD3,,,,,,,True,,,True,False,False,co_broke,"['core.agent', 'core.broker', 'co_broke']",essentials,2016.0,,2020-09-11,320000.0,3.0,,,6098.0,2628.0,3.0,,,2.0,2.0,4.0,single_family,27616,North Carolina,-78.510932,35.837509,Raleigh,NC,7532 Oakberry Dr,https://maps.googleapis.com/maps/api/streetview?channel=rdc-streetview&client=gme-movesalesinc&location=7532%20Oakberry%20Dr%2C%20Raleigh%2C%20NC%2027616&size=640x480&source=outdoor&signature=rIw1hZDfYyKz97EZDiuYwtLMHbU=,37183,Wake,"[{'listing_id': '2942089272', 'listing_key': None, 'status': 'for_sale', 'primary': True}, {'listing_id': '2918776068', 'listing_key': None, 'status': 'off_market', 'primary': None}, {'listing_id': '615905086', 'listing_key': None, 'status': 'off_market', 'primary': None}]",https://ap.rdcpix.com/c1b77e10a9cd3981a157b64796851d4dl-m667403786s-w1024_h768.jpg,,,,,,
